                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.4972,                0.91167,                 1.6104,                0.89123,                0.85334,                0.90365,                0.45018,                 1.6326,                0.87122,                  1.703,              0.0085893,              0.0085893,              0.0085893
                     60,                 1.4843,                 0.8972,                 1.6128,                0.89646,                0.86101,                0.91193,                0.46439,                 1.5593,                0.82742,                 1.6542,              0.0085645,              0.0085645,              0.0085645
                     61,                 1.4846,                0.89246,                 1.6132,                0.90725,                0.85574,                0.91038,                0.46686,                 1.6107,                0.80679,                 1.6831,              0.0085398,              0.0085398,              0.0085398
                     62,                 1.4944,                0.89011,                 1.6158,                0.91401,                0.87793,                 0.9196,                0.45851,                 1.6194,                0.78908,                 1.6825,               0.008515,               0.008515,               0.008515
                     63,                 1.4939,                0.87709,                 1.6082,                0.89361,                0.86983,                0.90969,                0.46917,                 1.6022,                0.81523,                 1.6838,              0.0084903,              0.0084903,              0.0084903
                     64,                 1.4786,                0.87985,                 1.5964,                0.91238,                0.87153,                0.91799,                0.47547,                 1.6046,                0.78792,                 1.6682,              0.0084655,              0.0084655,              0.0084655
                     65,                 1.4622,                0.86956,                 1.5987,                0.90091,                0.86385,                0.90647,                0.45508,                 1.6003,                 0.8324,                 1.6869,              0.0084408,              0.0084408,              0.0084408
                     66,                 1.4683,                0.87253,                  1.603,                0.91108,                0.89415,                0.92446,                 0.4741,                 1.6053,                0.77603,                 1.6737,               0.008416,               0.008416,               0.008416
                     67,                 1.4569,                0.86242,                 1.5961,                0.87882,                  0.845,                0.90007,                0.46268,                 1.5989,                0.80335,                 1.6558,              0.0083913,              0.0083913,              0.0083913
                     68,                 1.4713,                0.86832,                 1.5926,                 0.9054,                0.86598,                0.91334,                0.45469,                  1.629,                0.78735,                 1.6827,              0.0083665,              0.0083665,              0.0083665
                     69,                 1.4654,                0.85881,                 1.5824,                0.90726,                0.88263,                0.91848,                0.46709,                 1.5854,                0.77009,                 1.6568,              0.0083418,              0.0083418,              0.0083418
                     70,                 1.4509,                0.85621,                  1.584,                 0.9069,                0.90482,                 0.9292,                0.48293,                 1.5866,                0.77186,                 1.6562,               0.008317,               0.008317,               0.008317
                     71,                 1.4567,                0.87277,                 1.5926,                0.90498,                 0.8943,                0.91723,                0.47652,                 1.5867,                0.77619,                 1.6475,              0.0082922,              0.0082922,              0.0082922
                     72,                 1.4596,                0.86491,                 1.5907,                0.91303,                0.86474,                 0.9174,                0.47511,                 1.5707,                0.76577,                 1.6315,              0.0082675,              0.0082675,              0.0082675
