                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.46795,                0.53684,                0.22565,                0.84072,                0.86729,                0.86378,                 0.4191,                0.54065,                0.55621,                0.30373,              0.0080942,              0.0080942,              0.0080942
                     80,                0.46493,                0.53621,                0.22061,                 0.8579,                0.90141,                0.89907,                0.46021,                0.50764,                0.54461,                0.28531,              0.0080695,              0.0080695,              0.0080695
                     81,                0.46211,                0.53967,                0.21724,                0.85042,                0.91122,                0.89526,                0.46187,                0.52065,                0.54468,                0.29163,              0.0080447,              0.0080447,              0.0080447
                     82,                0.46968,                0.54979,                0.22904,                0.87229,                0.89671,                0.90865,                 0.4614,                0.50866,                0.55451,                0.28029,                0.00802,                0.00802,                0.00802
                     83,                0.45508,                0.54309,                0.21719,                0.85208,                0.89736,                0.89217,                0.43888,                0.52543,                0.54237,                0.29582,              0.0079953,              0.0079953,              0.0079953
                     84,                0.44975,                0.55902,                0.21699,                0.86264,                0.89117,                0.89019,                0.45429,                  0.507,                0.55248,                0.28134,              0.0079705,              0.0079705,              0.0079705
                     85,                0.45347,                0.53391,                0.21605,                0.84434,                0.87971,                0.87306,                0.43633,                0.52258,                0.55937,                0.29158,              0.0079457,              0.0079457,              0.0079457
                     86,                0.45254,                0.52767,                 0.2159,                0.85319,                0.88135,                0.88189,                0.44912,                0.52299,                0.54565,                0.29279,               0.007921,               0.007921,               0.007921
                     87,                0.44609,                0.53024,                0.21498,                0.85121,                 0.8912,                0.88689,                0.44244,                 0.5281,                0.55566,                 0.2966,              0.0078963,              0.0078963,              0.0078963
                     88,                0.45551,                0.54371,                 0.2132,                0.86766,                0.88818,                0.89951,                0.45851,                0.51279,                0.56023,                0.28581,              0.0078715,              0.0078715,              0.0078715
                     89,                0.44426,                 0.5263,                0.21021,                0.86631,                 0.8961,                0.90098,                0.46358,                0.50685,                0.54458,                0.27956,              0.0078467,              0.0078467,              0.0078467
                     90,                0.44954,                0.53948,                0.20857,                0.84651,                 0.8933,                0.89304,                0.44593,                 0.5248,                0.56284,                0.29505,               0.007822,               0.007822,               0.007822
                     91,                0.44356,                0.53959,                0.21071,                0.85368,                  0.889,                0.89997,                0.45286,                0.51891,                0.55147,                0.28856,              0.0077973,              0.0077973,              0.0077973
                     92,                0.43385,                0.54739,                0.20609,                0.84364,                0.89927,                0.89213,                0.44978,                 0.5283,                0.55313,                0.29723,              0.0077725,              0.0077725,              0.0077725
                     93,                0.44486,                0.53384,                0.21439,                 0.8744,                0.90013,                0.91777,                0.47443,                0.50775,                0.55154,                0.28037,              0.0077478,              0.0077478,              0.0077478
                     94,                0.42841,                0.54994,                0.20898,                0.87067,                0.89799,                0.91241,                0.44909,                0.52008,                0.55829,                0.29336,               0.007723,               0.007723,               0.007723
                     95,                0.44198,                0.54351,                0.21299,                0.86126,                0.89671,                0.89545,                 0.4533,                0.52186,                 0.5662,                0.29283,              0.0076983,              0.0076983,              0.0076983
                     96,                 0.4434,                0.53588,                0.20552,                0.85964,                0.89919,                0.89959,                0.45237,                0.52429,                0.55345,                 0.2916,              0.0076735,              0.0076735,              0.0076735
                     97,                0.44143,                0.53041,                0.20509,                0.85865,                0.91006,                0.90543,                0.46124,                0.50529,                0.57589,                0.28218,              0.0076488,              0.0076488,              0.0076488
