                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.5192,                0.93258,                 1.6426,                0.89943,                0.85574,                0.90945,                0.46133,                 1.5765,                0.79384,                 1.6312,              0.0085645,              0.0085645,              0.0085645
                     61,                 1.5275,                0.93256,                 1.6359,                0.87976,                0.84003,                0.90585,                 0.4613,                 1.5809,                0.87513,                 1.6614,              0.0085398,              0.0085398,              0.0085398
                     62,                  1.511,                0.91859,                 1.6256,                 0.8916,                0.82143,                0.88907,                 0.4527,                 1.5788,                0.87804,                 1.6245,               0.008515,               0.008515,               0.008515
                     63,                 1.5075,                0.92039,                 1.6327,                0.86463,                0.85062,                0.88382,                0.43396,                 1.6366,                0.88181,                  1.692,              0.0084903,              0.0084903,              0.0084903
                     64,                 1.5069,                0.91907,                 1.6277,                0.89799,                  0.863,                0.90561,                0.44932,                 1.6546,                0.79058,                 1.7009,              0.0084655,              0.0084655,              0.0084655
                     65,                  1.512,                0.91022,                 1.6341,                0.88135,                0.85279,                0.90135,                0.45123,                 1.6054,                0.87079,                 1.6765,              0.0084408,              0.0084408,              0.0084408
                     66,                 1.5029,                0.91391,                 1.6233,                0.90781,                0.87324,                0.91859,                 0.4695,                 1.5617,                 0.8228,                 1.6494,               0.008416,               0.008416,               0.008416
                     67,                 1.5056,                0.90573,                 1.6232,                0.87278,                0.80811,                0.87114,                0.42897,                 1.6827,                0.88236,                 1.7186,              0.0083913,              0.0083913,              0.0083913
                     68,                 1.5163,                0.90543,                 1.6127,                0.90481,                0.84678,                0.91278,                 0.4736,                 1.6008,                0.83279,                 1.6472,              0.0083665,              0.0083665,              0.0083665
                     69,                 1.4966,                0.88976,                 1.6059,                 0.9056,                0.87209,                0.92477,                0.47681,                 1.5968,                0.79759,                 1.6673,              0.0083418,              0.0083418,              0.0083418
                     70,                 1.5012,                0.90122,                 1.6172,                0.89448,                0.84302,                0.90025,                0.43671,                 1.6579,                0.84145,                 1.7077,               0.008317,               0.008317,               0.008317
                     71,                 1.4781,                0.88855,                 1.5882,                0.89856,                0.88847,                0.92276,                 0.4805,                 1.5539,                0.76172,                 1.6164,              0.0082922,              0.0082922,              0.0082922
                     72,                 1.4807,                 0.8961,                 1.6073,                0.90451,                0.87196,                0.92028,                 0.4614,                 1.5911,                0.78648,                 1.6397,              0.0082675,              0.0082675,              0.0082675
                     73,                 1.5009,                0.89088,                  1.599,                0.90556,                0.86598,                0.91709,                0.47218,                 1.5911,                0.81268,                 1.6415,              0.0082428,              0.0082428,              0.0082428
                     74,                 1.4908,                0.89396,                 1.6135,                0.89649,                0.83911,                 0.9039,                0.45978,                 1.6016,                 0.8111,                 1.6351,               0.008218,               0.008218,               0.008218
                     75,                 1.4889,                0.89032,                 1.6015,                0.89632,                0.81904,                0.89218,                0.44625,                 1.6186,                0.88161,                 1.6591,              0.0081932,              0.0081932,              0.0081932
                     76,                 1.4942,                0.89448,                 1.5963,                0.90954,                0.88402,                0.92482,                0.47648,                 1.5716,                0.77115,                 1.6216,              0.0081685,              0.0081685,              0.0081685
                     77,                  1.492,                 0.8863,                 1.6036,                0.91853,                0.88064,                0.92406,                0.47833,                 1.5407,                0.75993,                 1.5934,              0.0081437,              0.0081437,              0.0081437
                     78,                 1.4891,                   0.88,                  1.586,                0.90288,                0.87689,                0.91157,                0.44365,                 1.6424,                0.78381,                 1.6791,               0.008119,               0.008119,               0.008119
                     79,                 1.4952,                0.88107,                 1.6128,                0.90779,                0.86981,                 0.9217,                0.47148,                 1.5512,                 0.7745,                 1.6201,              0.0080942,              0.0080942,              0.0080942
                     80,                 1.4937,                0.87937,                 1.6017,                0.90098,                0.86983,                0.92175,                0.47125,                 1.5562,                0.78821,                 1.6228,              0.0080695,              0.0080695,              0.0080695
                     81,                 1.4869,                0.88923,                 1.6105,                0.89439,                0.83355,                0.90079,                0.46343,                 1.5783,                 0.8905,                 1.6358,              0.0080447,              0.0080447,              0.0080447
                     82,                  1.481,                0.88242,                 1.5961,                0.91457,                0.89097,                0.93067,                 0.4808,                 1.5543,                0.75476,                 1.6242,                0.00802,                0.00802,                0.00802
                     83,                 1.4725,                0.86388,                 1.5832,                0.91066,                0.88316,                0.92913,                0.47581,                 1.5615,                 0.7814,                 1.6282,              0.0079953,              0.0079953,              0.0079953
                     84,                 1.4661,                0.87126,                 1.5778,                0.91203,                0.87169,                0.92007,                 0.4775,                 1.5699,                0.74932,                 1.6174,              0.0079705,              0.0079705,              0.0079705
                     85,                  1.485,                0.87909,                 1.5908,                0.90842,                0.87638,                0.91943,                0.46965,                 1.5811,                0.76938,                 1.6352,              0.0079457,              0.0079457,              0.0079457
                     86,                 1.4525,                0.86132,                 1.5787,                0.91576,                0.88616,                0.92909,                0.47886,                 1.6236,                0.79015,                 1.6667,               0.007921,               0.007921,               0.007921
                     87,                  1.451,                0.84053,                  1.572,                0.89661,                0.86257,                0.91971,                 0.4677,                 1.5804,                 0.8011,                  1.642,              0.0078963,              0.0078963,              0.0078963
                     88,                 1.4673,                0.86409,                 1.5871,                0.91146,                0.86854,                0.91889,                0.46311,                 1.6131,                0.76351,                 1.6616,              0.0078715,              0.0078715,              0.0078715
                     89,                 1.4694,                 0.8678,                 1.5905,                0.91568,                0.86257,                0.92599,                0.47593,                 1.5713,                0.78993,                 1.6303,              0.0078467,              0.0078467,              0.0078467
                     90,                  1.453,                0.84828,                 1.5684,                0.91032,                0.85915,                0.92002,                0.46854,                 1.6309,                0.75685,                 1.6443,               0.007822,               0.007822,               0.007822
                     91,                 1.4542,                0.85338,                 1.5792,                0.90441,                0.88263,                 0.9283,                0.48545,                 1.5742,                0.75571,                 1.6405,              0.0077973,              0.0077973,              0.0077973
                     92,                 1.4695,                0.85849,                 1.5828,                 0.9157,                0.88135,                0.92853,                0.47105,                 1.5709,                0.74229,                 1.6219,              0.0077725,              0.0077725,              0.0077725
                     93,                  1.455,                0.84412,                   1.56,                0.90869,                0.87111,                0.92462,                0.47681,                 1.5543,                0.75208,                 1.5958,              0.0077478,              0.0077478,              0.0077478
                     94,                 1.4436,                0.83916,                 1.5659,                0.90863,                0.85735,                0.90619,                0.44486,                 1.5968,                0.78338,                 1.6491,               0.007723,               0.007723,               0.007723
                     95,                 1.4489,                0.84229,                 1.5632,                0.90979,                0.86084,                0.91123,                 0.4592,                 1.5812,                0.79667,                 1.6256,              0.0076983,              0.0076983,              0.0076983
                     96,                 1.4572,                0.84853,                 1.5616,                0.91096,                0.88007,                0.92764,                0.48114,                 1.5675,                0.74088,                  1.629,              0.0076735,              0.0076735,              0.0076735
                     97,                 1.4523,                0.84674,                 1.5695,                0.91535,                0.89074,                0.92838,                0.49278,                 1.5431,                0.72507,                 1.5849,              0.0076488,              0.0076488,              0.0076488
                     98,                 1.4323,                 0.8365,                  1.548,                0.89173,                0.87527,                0.91981,                0.48304,                 1.5731,                0.72213,                  1.601,               0.007624,               0.007624,               0.007624
                     99,                 1.4505,                0.84527,                 1.5559,                0.90035,                 0.8561,                 0.9116,                0.45662,                  1.611,                0.76709,                 1.6352,              0.0075993,              0.0075993,              0.0075993
                    100,                 1.4483,                0.83592,                 1.5603,                 0.9093,                0.88569,                0.91973,                 0.4738,                 1.5711,                0.72632,                 1.6099,              0.0075745,              0.0075745,              0.0075745
                    101,                 1.4413,                0.84957,                 1.5525,                0.91212,                 0.8933,                0.93181,                 0.4783,                 1.5378,                0.72531,                 1.5988,              0.0075498,              0.0075498,              0.0075498
                    102,                 1.4302,                0.83366,                 1.5529,                0.90555,                0.86556,                0.91669,                0.45846,                 1.6046,                0.77016,                 1.6313,               0.007525,               0.007525,               0.007525
                    103,                 1.4286,                0.81797,                 1.5486,                0.90761,                0.88348,                0.92056,                0.46711,                 1.5775,                0.74144,                 1.6228,              0.0075003,              0.0075003,              0.0075003
                    104,                 1.4409,                0.85211,                 1.5715,                0.92025,                0.87153,                 0.9206,                0.47606,                 1.5466,                0.75308,                 1.6077,              0.0074755,              0.0074755,              0.0074755
                    105,                 1.4167,                 0.8255,                 1.5536,                0.91226,                0.89196,                0.92216,                0.47945,                 1.5474,                0.74783,                 1.6102,              0.0074507,              0.0074507,              0.0074507
                    106,                 1.4253,                0.82572,                 1.5529,                0.90605,                0.84208,                0.90557,                0.45106,                 1.6087,                0.79013,                 1.6638,               0.007426,               0.007426,               0.007426
                    107,                 1.4363,                0.84415,                 1.5549,                0.91883,                0.86769,                0.92148,                0.47273,                 1.5497,                0.79666,                 1.6012,              0.0074013,              0.0074013,              0.0074013
                    108,                 1.4248,                0.83567,                 1.5484,                0.92633,                0.86044,                 0.9225,                0.47036,                 1.5701,                0.75004,                 1.6212,              0.0073765,              0.0073765,              0.0073765
                    109,                 1.4298,                0.84769,                 1.5691,                0.92488,                0.88287,                0.92287,                0.47998,                 1.5704,                0.72613,                 1.6045,              0.0073517,              0.0073517,              0.0073517
                    110,                 1.4261,                0.83236,                 1.5521,                0.91741,                 0.8694,                0.92389,                0.47288,                 1.5872,                0.73903,                 1.6277,               0.007327,               0.007327,               0.007327
                    111,                 1.4277,                0.83222,                 1.5504,                0.90086,                0.88037,                0.91674,                0.45848,                 1.5914,                0.73396,                 1.6286,              0.0073023,              0.0073023,              0.0073023
                    112,                 1.4113,                0.81639,                 1.5395,                0.91202,                 0.8933,                0.92705,                0.47647,                 1.5337,                0.72507,                 1.5944,              0.0072775,              0.0072775,              0.0072775
                    113,                 1.4072,                0.82044,                 1.5359,                0.91032,                 0.8694,                0.91801,                0.47193,                 1.5658,                0.72546,                 1.6029,              0.0072527,              0.0072527,              0.0072527
                    114,                 1.4169,                0.82072,                 1.5305,                0.90509,                0.86257,                0.91746,                 0.4664,                 1.5855,                0.74773,                 1.6287,               0.007228,               0.007228,               0.007228
                    115,                 1.4086,                0.82656,                 1.5311,                 0.9057,                0.86086,                0.91792,                0.45205,                 1.6284,                 0.7572,                 1.6634,              0.0072033,              0.0072033,              0.0072033
                    116,                 1.4076,                0.81281,                 1.5257,                0.90661,                0.86854,                0.91685,                0.46994,                  1.571,                0.76191,                  1.611,              0.0071785,              0.0071785,              0.0071785
                    117,                 1.4132,                0.81805,                 1.5371,                0.91645,                 0.8848,                0.93286,                0.47636,                 1.5759,                0.72287,                 1.6248,              0.0071538,              0.0071538,              0.0071538
                    118,                 1.4242,                0.83076,                 1.5522,                0.91302,                0.88702,                 0.9198,                0.46845,                 1.5881,                0.71606,                 1.6276,               0.007129,               0.007129,               0.007129
                    119,                 1.4092,                0.81836,                 1.5311,                0.90613,                 0.8776,                0.91202,                0.45504,                 1.6254,                0.73396,                 1.6441,              0.0071042,              0.0071042,              0.0071042
                    120,                 1.4016,                 0.8006,                 1.5279,                0.91329,                0.88562,                0.92757,                0.47365,                 1.5882,                0.72039,                 1.6244,              0.0070795,              0.0070795,              0.0070795
                    121,                 1.4033,                0.80962,                 1.5269,                0.92154,                0.88223,                0.92592,                0.47107,                 1.5898,                0.71436,                 1.6153,              0.0070547,              0.0070547,              0.0070547
                    122,                 1.4162,                0.80402,                 1.5351,                0.91861,                0.88946,                0.92757,                0.47077,                 1.5732,                0.68549,                 1.6085,                0.00703,                0.00703,                0.00703
                    123,                 1.4105,                0.80358,                 1.5324,                0.92251,                0.88306,                0.92762,                0.46258,                 1.5926,                0.73456,                 1.6377,              0.0070053,              0.0070053,              0.0070053
                    124,                 1.3955,                0.80484,                  1.527,                0.91147,                0.87921,                0.92675,                0.46979,                 1.5851,                0.72004,                 1.6128,              0.0069805,              0.0069805,              0.0069805
                    125,                 1.4001,                  0.818,                 1.5337,                0.91492,                0.86284,                0.91573,                0.46763,                 1.5991,                0.71659,                 1.6244,              0.0069558,              0.0069558,              0.0069558
                    126,                 1.3973,                0.79948,                  1.522,                 0.9057,                 0.8526,                0.90637,                0.44485,                 1.6487,                0.77868,                 1.6654,               0.006931,               0.006931,               0.006931
                    127,                 1.4021,                0.80356,                 1.5205,                 0.9036,                0.87216,                0.91014,                0.44431,                 1.6591,                0.72413,                 1.6579,              0.0069063,              0.0069063,              0.0069063
                    128,                  1.396,                  0.795,                 1.5295,                0.91635,                0.88832,                 0.9273,                0.47072,                 1.5814,                 0.7127,                 1.6183,              0.0068815,              0.0068815,              0.0068815
                    129,                 1.3894,                0.79403,                 1.5192,                0.93095,                 0.8869,                0.92936,                0.46817,                 1.5827,                0.69818,                 1.6129,              0.0068568,              0.0068568,              0.0068568
                    130,                 1.3861,                 0.7944,                 1.5181,                0.90833,                0.88818,                0.91854,                0.46179,                 1.6047,                0.71166,                 1.6375,               0.006832,               0.006832,               0.006832
                    131,                 1.3922,                0.78812,                 1.5091,                0.91515,                0.87836,                0.92134,                0.46746,                 1.6083,                 0.7049,                 1.6253,              0.0068073,              0.0068073,              0.0068073
                    132,                 1.3903,                0.79264,                 1.5124,                0.91656,                0.87836,                 0.9241,                0.47117,                 1.6136,                0.68846,                 1.6389,              0.0067825,              0.0067825,              0.0067825
                    133,                 1.3815,                0.79906,                 1.5148,                0.91819,                0.89885,                0.93498,                 0.4811,                 1.5522,                0.68754,                 1.6002,              0.0067577,              0.0067577,              0.0067577
                    134,                 1.3806,                0.77326,                 1.4995,                0.92277,                0.87204,                0.92574,                0.47697,                  1.567,                0.69961,                 1.6006,               0.006733,               0.006733,               0.006733
                    135,                 1.3794,                0.79552,                 1.5118,                0.92122,                0.88946,                0.92362,                0.46425,                 1.5721,                 0.6954,                 1.6069,              0.0067082,              0.0067082,              0.0067082
                    136,                 1.3728,                0.78661,                  1.502,                0.91677,                0.88391,                0.92233,                0.46381,                 1.6093,                0.70436,                   1.63,              0.0066835,              0.0066835,              0.0066835
                    137,                 1.3761,                0.80011,                 1.5007,                0.90891,                0.88092,                0.91815,                0.46244,                 1.6006,                0.70211,                 1.6352,              0.0066587,              0.0066587,              0.0066587
                    138,                 1.3758,                0.76891,                 1.4924,                0.90987,                0.87964,                0.92057,                0.46393,                 1.6239,                0.69444,                 1.6344,               0.006634,               0.006634,               0.006634
                    139,                 1.3635,                0.78151,                 1.4944,                0.91683,                0.87836,                0.92501,                0.46761,                 1.5999,                 0.7016,                 1.6127,              0.0066092,              0.0066092,              0.0066092
                    140,                 1.3724,                0.76976,                 1.4972,                0.91656,                0.87708,                0.92867,                0.48499,                 1.5965,                0.69798,                 1.6128,              0.0065845,              0.0065845,              0.0065845
                    141,                   1.37,                 0.7754,                 1.4911,                0.90895,                 0.8822,                0.92094,                0.47533,                 1.5785,                0.71074,                 1.6148,              0.0065598,              0.0065598,              0.0065598
                    142,                  1.369,                0.77691,                 1.4951,                0.90849,                 0.8813,                0.91839,                0.45699,                 1.6187,                0.70439,                 1.6366,               0.006535,               0.006535,               0.006535
                    143,                 1.3726,                0.78482,                 1.4977,                0.91342,                0.88708,                0.92826,                0.47115,                 1.5861,                 0.6976,                 1.6045,              0.0065102,              0.0065102,              0.0065102
                    144,                  1.372,                0.77676,                 1.4926,                0.92561,                0.87099,                0.92456,                0.46884,                 1.6057,                0.70428,                 1.6284,              0.0064855,              0.0064855,              0.0064855
                    145,                 1.3523,                0.76679,                 1.4859,                0.92247,                0.89031,                0.93135,                0.48401,                 1.5709,                0.68782,                 1.5971,              0.0064608,              0.0064608,              0.0064608
                    146,                  1.361,                0.77029,                 1.4909,                0.91324,                0.88562,                0.92384,                0.47066,                 1.5869,                0.69622,                 1.6246,               0.006436,               0.006436,               0.006436
                    147,                 1.3543,                0.78627,                 1.4938,                0.91675,                0.88647,                0.93086,                0.48818,                 1.5534,                0.67731,                 1.5974,              0.0064112,              0.0064112,              0.0064112
