                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.56784,                0.56128,                0.26569,                0.84579,                0.89186,                0.88618,                0.44048,                0.50644,                0.53597,                0.27926,              0.0088863,              0.0088863,              0.0088863
                     48,                0.58834,                0.54576,                0.26753,                0.83301,                 0.8822,                0.86365,                0.41674,                0.52636,                0.54931,                 0.2906,              0.0088615,              0.0088615,              0.0088615
                     49,                0.57592,                0.55679,                0.25929,                  0.834,                0.88988,                0.86712,                0.41448,                0.53214,                0.53661,                0.29809,              0.0088368,              0.0088368,              0.0088368
                     50,                0.56193,                0.55946,                 0.2607,                0.83871,                0.91976,                0.89429,                0.44367,                0.51696,                0.53282,                0.27847,               0.008812,               0.008812,               0.008812
                     51,                0.57026,                0.55169,                 0.2652,                0.83517,                 0.8886,                0.87637,                0.42315,                0.52122,                0.55618,                0.29065,              0.0087872,              0.0087872,              0.0087872
                     52,                 0.5709,                0.55667,                0.25791,                0.82199,                0.86717,                0.84426,                0.39038,                0.54606,                0.54185,                0.31528,              0.0087625,              0.0087625,              0.0087625
                     53,                 0.5508,                0.55587,                0.25214,                0.83612,                0.86011,                0.85607,                0.42814,                0.51057,                0.55738,                0.27704,              0.0087378,              0.0087378,              0.0087378
                     54,                0.55887,                0.55424,                0.25852,                0.85607,                0.88818,                0.88522,                0.44946,                0.51029,                0.55411,                0.27769,               0.008713,               0.008713,               0.008713
                     55,                0.56602,                 0.5675,                0.25999,                0.82483,                0.88832,                0.86981,                0.41531,                0.53271,                0.55674,                0.30143,              0.0086882,              0.0086882,              0.0086882
                     56,                 0.5396,                0.56175,                0.24853,                0.85604,                0.86983,                0.87205,                0.41077,                0.52619,                0.54348,                 0.2932,              0.0086635,              0.0086635,              0.0086635
                     57,                 0.5315,                0.55848,                0.25054,                0.85937,                 0.9061,                0.89503,                0.43731,                0.52209,                0.53697,                0.28541,              0.0086388,              0.0086388,              0.0086388
                     58,                0.54683,                0.56513,                0.25233,                0.84915,                0.89458,                0.87942,                0.44081,                 0.5032,                0.54531,                0.27708,               0.008614,               0.008614,               0.008614
                     59,                 0.5777,                 0.5523,                0.26002,                0.84292,                0.89714,                0.87297,                 0.4255,                0.51804,                0.54901,                0.28032,              0.0085893,              0.0085893,              0.0085893
                     60,                0.53515,                0.56549,                0.24998,                0.84743,                0.90824,                0.89427,                0.45053,                0.50211,                0.54926,                0.27137,              0.0085645,              0.0085645,              0.0085645
                     61,                 0.5271,                0.56441,                0.25041,                 0.8427,                0.88092,                0.87285,                  0.438,                0.50158,                0.57565,                0.27191,              0.0085398,              0.0085398,              0.0085398
                     62,                0.53882,                0.55973,                0.25217,                0.84203,                0.88498,                0.88494,                0.44332,                0.51446,                 0.5413,                0.28234,               0.008515,               0.008515,               0.008515
                     63,                0.55279,                0.55279,                0.25641,                0.85995,                0.90312,                0.90025,                0.45657,                0.49025,                0.54011,                0.26824,              0.0084903,              0.0084903,              0.0084903
                     64,                0.55741,                0.53957,                0.25482,                0.83498,                0.88306,                0.86489,                0.42324,                0.52265,                0.55973,                0.28232,              0.0084655,              0.0084655,              0.0084655
